itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
237370,7,KODEX 배당성장채권혼합,12260,5,-15,-0.12,12288.0,1.4462,5812,71,221
365040,1,TIGER AI코리아그로스액티브,13780,5,-60,-0.43,13847.0,-2.0871,2562,35,220
225130,4,KINDEX 골드선물 레버리지(합성 H),16835,5,-220,-1.29,,-10.0949,6099,102,219
329660,7,KODEX TRF5050,12540,2,20,0.16,12497.0,5.1658,13954,174,213
300640,2,KBSTAR 게임테마,15720,2,65,0.42,15716.0,1.1958,25815,408,212
210780,2,TIGER 코스피고배당,15660,3,0,0.0,15659.0,8.3362,117603,1836,207
329670,7,KODEX TRF7030,13590,2,55,0.41,13530.0,7.2079,12576,170,204
306950,3,KODEX KRX300레버리지,20010,2,30,0.15,20007.0,-7.6924,7949,158,200
218420,4,KODEX 미국S&P에너지(합성),6540,2,35,0.54,,-9.4012,8038,52,199
223190,2,KODEX 200가치저변동,11020,2,65,0.59,11037.0,-5.4381,4683,51,198
143460,2,KINDEX 밸류대형,9860,2,65,0.66,9862.0,-5.3166,43,0,197
278620,6,ARIRANG 단기채권액티브,106030,5,-10,-0.01,106030.0,-0.0283,39,4,193
388420,2,KBSTAR 비메모리반도체액티브,9865,5,-85,-0.85,9901.0,1.6343,38470,379,191
292730,1,FOCUS KRX300,18950,5,-20,-0.11,19053.0,-3.6323,1,0,190
152380,6,KODEX 국채선물10년,69975,2,25,0.04,69897.0,0.7852,511,35,189
138530,2,TIGER LG그룹+펀더멘털,11055,5,-80,-0.72,11091.0,-5.1534,12123,133,186
102960,2,KODEX 기계장비,5950,5,-10,-0.17,5963.0,-3.4818,50935,303,186
211560,2,TIGER 배당성장,20560,5,-5,-0.02,20559.0,6.8311,24754,509,185
248270,4,TIGER S&P글로벌헬스케어(합성),18470,5,-55,-0.3,,12.8884,5852,107,185
200030,4,KODEX 미국S&P산업재(합성),20935,5,-30,-0.14,,2.7444,1730,36,183
289040,2,KODEX MSCI KOREA ESG유니버설,12165,5,-10,-0.08,12241.0,-4.734,139,1,182
371130,4,KINDEX 블룸버그베트남VN30선물레버리지(H),20000,2,210,1.06,,-2.9427,3394,67,180
238720,4,KINDEX 일본Nikkei225(H),19950,2,50,0.25,,5.0409,1451,28,180
140700,2,KODEX 보험,6900,5,-30,-0.43,6897.0,7.6923,38107,261,179
185680,4,KODEX 미국S&P바이오(합성),33690,5,-25,-0.07,,3.5791,1472,49,177
316670,1,KOSEF 코스닥150,7375,5,-70,-0.94,7456.0,6.2054,2385,17,174
241180,4,TIGER 일본니케이225,19320,2,245,1.28,,9.1871,6069,116,174
360140,2,KODEX 200롱코스닥150숏선물,10850,2,110,1.02,10867.0,-12.2908,12172,131,174
280320,4,KINDEX 미국IT인터넷S&P(합성 H),21490,5,-155,-0.72,,7.9281,273,5,172
237350,1,KODEX 코스피100,31240,2,30,0.1,31333.0,-5.1224,1838,57,172
292500,1,SOL KRX300,18955,5,-20,-0.11,18998.0,-3.386,10,0,171
304760,1,HANARO KRX300,18705,5,-25,-0.13,18745.0,-3.5034,59,1,168
230480,3,KOSEF 미국달러선물인버스2X,7890,5,-95,-1.19,7886.0,-9.3644,3809,30,167
352560,7,KODEX 다우존스미국리츠(H),14565,5,-195,-1.32,,4.3478,72094,1046,160
272910,6,KINDEX 중장기국공채액티브,100870,2,60,0.06,100842.0,0.1619,2,0,158
245350,4,TIGER 유로스탁스배당30,13070,5,-90,-0.68,,0.4886,3655,47,157
367740,2,HANARO Fn5G산업,13000,5,-135,-1.03,13002.0,0.1524,17741,229,156
225050,4,TIGER 유로스탁스레버리지(합성 H),10350,2,5,0.05,,2.7819,10195,104,155
153270,1,KOSEF 코스피100,30900,2,45,0.15,30869.0,-5.0908,118,3,155
183700,7,KBSTAR 채권혼합,63460,2,155,0.24,63511.0,-1.7614,2,0,152
139240,2,TIGER 200 철강소재,10535,2,240,2.33,10555.0,3.6235,35580,372,152
391600,4,KINDEX 미국친환경그린테마INDXX,10110,5,-90,-0.88,,,230562,2331,152
284430,6,KODEX 200미국채혼합,13480,2,120,0.9,13435.0,1.2121,7016,94,151
182490,6,TIGER 단기선진하이일드(합성 H),12570,3,0,0.0,,0.56,3193,40,151
241390,7,KBSTAR V&S셀렉트밸류채권혼합,12485,5,-15,-0.12,12503.0,-0.6755,2270,28,150
390400,4,KODEX 미국스마트모빌리티S&P,9255,5,-20,-0.22,,,24940,230,148
